单位,省,市,类型
北京大学,北京,北京,教育部
清华大学,北京,北京,教育部
中国科学技术大学,安徽,合肥,中国科学院
南京大学,江苏,南京,教育部
复旦大学,上海,上海,教育部
浙江大学,浙江,杭州,教育部
上海交通大学,上海,上海,教育部
南开大学,天津,天津,教育部
中国中医科学院,北京,北京,卫健委
厦门大学,福建,厦门,教育部
武汉大学,湖北,武汉,教育部
中国人民解放军军事科学院,北京,北京,军事单位
中国农业科学院哈尔滨兽医研究所,黑龙江,哈尔滨,农业农村部
中国医学科学院基础医学研究所,北京,北京,中国医学科学院
西安交通大学,陕西,西安,教育部
香港大学,香港,香港,地方院校
香港科技大学,香港,香港,地方院校
中国医学科学院肿瘤医院,北京,北京,中国科学院
华中科技大学,湖北,武汉,教育部
兰州大学,甘肃,兰州,教育部
南京航空航天大学,江苏,南京,工信部
中国医学科学院阜外医院,北京,北京,中国科学院
中国地质科学院地质研究所,北京,北京,中国科学院
中国科学院上海光学精密机械研究所,上海,上海,中国科学院
中山大学,广东,广州,教育部
北京航空航天大学,北京,北京,工信部
北京师范大学,北京,北京,教育部
哈尔滨工业大学,黑龙江,哈尔滨,工信部
吉林大学,吉林,长春,教育部
同济大学,上海,上海,教育部
香港中文大学,香港,香港,地方院校
中国地质大学（北京）,北京,北京,教育部
中国科学院上海应用物理研究所,上海,上海,中国科学院
中国航天科技集团公司第一研究院,北京,北京,中国航天
中国科学院上海微系统与信息技术研究所,上海,上海,中国科学院
中国科学院上海技术物理研究所,上海,上海,中国科学院
中国科学院上海有机化学研究所,上海,上海,中国科学院
北京应用物理与计算数学研究所,北京,北京,中国工程物理研究院
东南大学,江苏,南京,教育部
华南理工大学,广东,广州,教育部
山东大学,山东,济南,教育部
四川大学,四川,成都,教育部
西北大学,陕西,西安,教育部
中国地质大学（武汉）,湖北,武汉,教育部
中国工程物理研究院,四川,绵阳,中国工程物理研究院
中国科学院上海生命科学研究院,上海,上海,中国科学院
中国科学院上海生物化学与细胞生物学研究所,上海,上海,中国科学院
中国人民解放军国防科技大学,湖南,长沙,军事单位
国防科技大学,湖南,长沙,军事单位
中国科学院上海硅酸盐研究所,上海,上海,中国科学院
北京化工大学,北京,北京,教育部
北京计算科学研究中心,北京,北京,中国工程物理研究院
北京科技大学,北京,北京,教育部
北京交通大学,北京,北京,教育部
大连理工大学,辽宁,大连,教育部
国防科学技术大学,湖南,长沙,军事单位
华东理工大学,广东,广州,教育部
华东师范大学,上海,上海,教育部
南方科技大学,广东,深圳,地方院校
南京理工大学,江苏,南京,工信部
首都医科大学,北京,北京,地方院校
西北工业大学,陕西,西安,工信部
香港理工大学,香港,香港,地方院校
郑州大学,河南,郑州,地方院校
中国地震局地质研究所,北京,北京,地震局
中国地质大学(武汉),湖北,武汉,教育部
中国海洋大学,山东,青岛,教育部
中国航天科技集团第一研究院,北京,北京,中国航天
中国科学院上海药物研究所,上海,上海,中国科学院
中国科学院云南天文台,云南,昆明,中国科学院
中国科学院光电研究院,北京,北京,中国科学院
中国科学院兰州化学物理研究所,甘肃,兰州,中国科学院
中国科学院分子细胞科学卓越创新中心,上海,上海,中国科学院
中国科学院力学研究所,北京,北京,中国科学院
中国科学院动物研究所,北京,北京,中国科学院
中国科学院化学研究所,北京,北京,中国科学院
中国科学院北京基因组研究所,北京,北京,中国科学院
中国科学院半导体研究所,北京,北京,中国科学院
中国科学院南京地质古生物研究所,江苏,南京,中国科学院
中国科学院古脊椎动物与古人类研究所,北京,北京,中国科学院
中国科学院合肥物质科学研究院,安徽,合肥,中国科学院
中国空间技术研究院,北京,北京,中国航天
中国农业大学,北京,北京,教育部
中国人民解放军总医院,北京,北京,军事单位
中国石油大学（北京）,北京,北京,教育部
中国石油勘探开发研究院,北京,北京,中石油
中国科学院国家天文台,北京,北京,中国科学院
中国科学院国家天文台南京天文光学技术研究所,江苏,南京,中国科学院
中国科学院国家空间科学中心,北京,北京,中国科学院
中国科学院地球化学研究所,贵州,贵阳,中国科学院
北京生命科学研究所,北京,北京,科技部
北京市遥感信息研究所,北京,北京,地方院校
北京协和医院,北京,北京,卫健委
北京信息科学技术研究院,北京,北京,教育部
电子科技大学,四川,成都,教育部
东北师范大学,吉林,长春,教育部
东华大学,上海,上海,教育部
东南大学附属中大医院,江苏,南京,教育部
中国科学院地球环境研究所,陕西,西安,中国科学院
复旦大学附属眼耳鼻喉科医院,上海,上海,教育部
复旦大学附属中山医院,上海,上海,教育部
国机集团科学技术研究院有限公司,北京,北京,国机集团
国家电网公司,北京,北京,国家电网
国家海洋局第二海洋研究所,浙江,杭州,自然资源部
国家纳米科学中心,北京,北京,中国科学院
海南大学,海南,海口,地方院校
河北师范大学,河北,石家庄,地方院校
湖南大学,湖南,长沙,教育部
华南农业大学,广东,广州,地方院校
江西农业大学,江西,南昌,地方院校
解放军装备指挥技术学院,北京,北京,军事单位
中国科学院地理科学与资源研究所,北京,北京,中国科学院
中国科学院地理资源研究所,北京,北京,中国科学院
空军预警学院,湖北,武汉,军事单位
昆明理工大学,云南,昆明,地方院校
陆军军医大学,重庆,重庆,军事单位
南昌大学,江西,南昌,地方院校
南方医科大学,广东,广州,地方院校
南京邮电大学,江苏,南京,地方院校
山西大学,山西,太原,地方院校
陕西师范大学,陕西,西安,教育部
首都师范大学,北京,北京,地方院校
首都医科大学附属宣武医院,北京,北京,地方院校
四川省人民医院,四川,成都,地方院校
苏州大学,江苏,苏州,地方院校
太原理工大学,山西,太原,地方院校
天津大学,天津,天津,教育部
武汉理工大学,湖北,武汉,教育部
西安测绘研究所,陕西,西安,地方院校
西安电子科技大学,陕西,西安,教育部
西南交通大学,四川,成都,教育部
香港城市大学,香港,香港,地方院校
雄安创新研究院,河北,雄安,中国科学院
燕山大学,河北,秦皇岛,地方院校
云南大学,云南,昆明,地方院校
长安大学,陕西,长安,教育部
中国兵器工业集团第二〇一研究所,北京,北京,中国兵器
中国航空第一集团公司沈阳飞机设计研究所,辽宁,沈阳,航空工业
中国航空工业集团公司成都飞机设计研究所,四川,成都,航空工业
中国航天科工集团第二研究院,北京,北京,中国航天
中国航天科工集团科技委,北京,北京,中国航天
中国航天科工集团,北京,北京,中国航天
中国航天科技集团第四研究院,北京,北京,中国航天
中国航天科技集团第九研究院,北京,北京,中国航天
中国航天科技集团有限公司,北京,北京,中国航天
中国航天科技集团,北京,北京,中国航天
中国核试验基地,新疆,马兰,军事单位
中国疾病预防控制中心,北京,北京,卫健委
中国科学院地质与地球物理研究所,北京,北京,中国科学院
中国科学院城市环境研究所,福建,厦门,中国科学院
中国科学院声学研究所,北京,北京,中国科学院
中国科学院大气物理研究所,北京,北京,中国科学院
中国科学院大连化学物理研究所,辽宁,大连,中国科学院
中国科学院寒区旱区环境与工程研究所,甘肃,兰州,中国科学院
中国科学院对地观测与数字地球科学中心,北京,北京,中国科学院
中国科学院工程热物理研究所,北京,北京,中国科学院
中国科学院广州地球化学研究所,广东,广州,中国科学院
中国科学院微生物研究所,北京,北京,中国科学院
中国科学院微电子研究所,北京,北京,中国科学院
中国科学院成都生物研究所,四川,成都,中国科学院
中国科学院教育部水土保持与生态环境研究中心,陕西,西安,中国科学院
中国科学院数学与系统科学研究院,北京,北京,中国科学院
中国科学院新疆生态与地理研究所,新疆,乌鲁木齐,中国科学院
中国科学院昆明动物研究所,云南,昆明,中国科学院
中国科学院昆明植物研究所,云南,昆明,中国科学院
中国科学院植物研究所,北京,北京,中国科学院
中国科学院武汉物理与数学研究所,湖北,武汉,中国科学院
中国科学院水利部成都山地灾害与环境研究所,四川,成都,中国科学院
中国科学院水生生物研究所,湖北,武汉,中国科学院
中国科学院测量与地球物理研究所,湖北,武汉,中国科学院
中国科学院海洋研究所,山东,青岛,中国科学院
中国科学院物理研究所,北京,北京,中国科学院
中国科学院理化技术研究所,北京,北京,中国科学院
中国科学院理论物理研究所,北京,北京,中国科学院
中国科学院生态环境研究中心,北京,北京,中国科学院
中国科学院生物物理研究所,北京,北京,中国科学院
中国科学院电子学研究所,北京,北京,中国科学院
中国空间技术研究院502所,北京,北京,中国航天
中国空气动力研究与发展中心,北京,北京,军事单位
中国矿业大学（北京）,北京,北京,教育部
中国科学院电工研究所,北京,北京,中国科学院
中国气象局,北京,北京,气象局
中国气象科学研究院,北京,北京,气象局
中国人民解放军61212部队,北京,北京,军事单位
中国人民解放军保密委员会技术安全研究所,北京,北京,军事单位
中国人民解放军第三〇二医院,北京,北京,军事单位
中国人民解放军国防科学技术大学,湖南,长沙,军事单位
中国人民解放军空军工程大学,陕西,西安,军事单位
中国人民解放军空军军医大学,陕西,西安,军事单位
中国人民解放军陆军工程大学,江苏,南京,军事单位
中国人民解放军总参谋部,北京,北京,军事单位
中国石油大学(北京),北京,北京,教育部
中国石油化工股份有限公司,北京,北京,中石油
中国石油化工股份有限公司石油勘探开发研究院,北京,北京,中石油
中国水稻研究所,浙江,杭州,农业农村部
中国水利水电科学研究院,北京,北京,水利部
中国科学院研究生院,北京,北京,中国科学院
中国科学院福建物质结构研究所,福建,福州,中国科学院
中国科学院空天信息创新研究院,北京,北京,中国科学院
中国科学院空间科学与应用研究中心,北京,北京,中国科学院
中国科学院精密测量科学与技术创新研究院,湖北,武汉,中国科学院
中国科学院紫金山天文台,江苏,南京,中国科学院
中国科学院自动化研究所,北京,北京,中国科学院
中国科学院过程工程研究所,北京,北京,中国科学院
中国科学院近代物理研究所,甘肃,兰州,中国科学院
中国科学院遗传与发育生物学研究所,北京,北京,中国科学院
中国科学院遗传研究所,北京,北京,中国科学院
中国科学院金属研究所,辽宁,沈阳,中国科学院
中国科学院长春光学精密机械与物理研究所,吉林,长春,中国科学院
中国科学院长春应用化学研究所,吉林,长春,中国科学院
中国科学院青藏高原研究所,西藏,拉萨,中国科学院
中国科学院高能物理研究所,北京,北京,中国科学院
军事医学科学院,北京,北京,中国科学院
军事医学科学院放射医学研究所,北京,北京,中国科学院
福建省农业科学院,福建,福州,中国科学院
中南大学,湖南,长沙,教育部
中山大学肿瘤防治中心,广东,广州,教育部
